Gene % GC content	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name	Gene type	Gene stable ID
40.85	577	647	MT	Mt_tRNA	ENSG00000210049
45.49	648	1601	MT	Mt_rRNA	ENSG00000211459
42.03	1602	1670	MT	Mt_tRNA	ENSG00000210077
42.81	1671	3229	MT	Mt_rRNA	ENSG00000210082
38.67	3230	3304	MT	Mt_tRNA	ENSG00000209082
47.70	3307	4262	MT	protein_coding	ENSG00000198888
28.99	4263	4331	MT	Mt_tRNA	ENSG00000210100
48.61	4329	4400	MT	Mt_tRNA	ENSG00000210107
45.59	4402	4469	MT	Mt_tRNA	ENSG00000210112
42.99	4470	5511	MT	protein_coding	ENSG00000198763
35.29	5512	5579	MT	Mt_tRNA	ENSG00000210117
43.48	5587	5655	MT	Mt_tRNA	ENSG00000210127
41.10	5657	5729	MT	Mt_tRNA	ENSG00000210135
45.45	5761	5826	MT	Mt_tRNA	ENSG00000210140
42.42	5826	5891	MT	Mt_tRNA	ENSG00000210144
46.24	5904	7445	MT	protein_coding	ENSG00000198804
49.28	7446	7514	MT	Mt_tRNA	ENSG00000210151
23.53	7518	7585	MT	Mt_tRNA	ENSG00000210154
46.20	7586	8269	MT	protein_coding	ENSG00000198712
32.86	8295	8364	MT	Mt_tRNA	ENSG00000210156
39.61	8366	8572	MT	protein_coding	ENSG00000228253
44.20	8527	9207	MT	protein_coding	ENSG00000198899
46.56	9207	9990	MT	protein_coding	ENSG00000198938
26.47	9991	10058	MT	Mt_tRNA	ENSG00000210164
40.17	10059	10404	MT	protein_coding	ENSG00000198840
23.08	10405	10469	MT	Mt_tRNA	ENSG00000210174
43.10	10470	10766	MT	protein_coding	ENSG00000212907
44.27	10760	12137	MT	protein_coding	ENSG00000198886
36.23	12138	12206	MT	Mt_tRNA	ENSG00000210176
45.76	12207	12265	MT	Mt_tRNA	ENSG00000210184
35.21	12266	12336	MT	Mt_tRNA	ENSG00000210191
44.92	12337	14148	MT	protein_coding	ENSG00000198786
42.67	14149	14673	MT	protein_coding	ENSG00000198695
39.13	14674	14742	MT	Mt_tRNA	ENSG00000210194
46.28	14747	15887	MT	protein_coding	ENSG00000198727
37.88	15888	15953	MT	Mt_tRNA	ENSG00000210195
33.82	15956	16023	MT	Mt_tRNA	ENSG00000210196
47.38	56140	58376	GL000009.2	protein_coding	ENSG00000278704
36.73	108007	139659	GL000213.1	protein_coding	ENSG00000277630
75.56	105287	105376	GL000220.1	misc_RNA	ENSG00000276197
38.61	37434	37534	GL000195.1	misc_RNA	ENSG00000277428
44.36	4612	29626	KI270711.1	protein_coding	ENSG00000271254
43.73	59711	60316	KI270734.1	pseudogene	ENSG00000278573
35.85	51009	51114	KI270744.1	snRNA	ENSG00000278625
58.82	380608	380726	KI270442.1	rRNA	ENSG00000278457
45.45	148668	148843	KI270750.1	snRNA	ENSG00000277374
38.61	93050	93150	GL000205.2	misc_RNA	ENSG00000276932
45.63	53590	115018	GL000194.1	protein_coding	ENSG00000277400
60.44	10598	13001	KI270731.1	protein_coding	ENSG00000278633
38.41	54224	83311	GL000219.1	protein_coding	ENSG00000273748
58.96	138082	161852	KI270734.1	protein_coding	ENSG00000277196
43.73	26533	27138	KI270731.1	pseudogene	ENSG00000278066
45.64	53594	115055	GL000194.1	protein_coding	ENSG00000274847
57.52	112025	112177	GL000220.1	rRNA	ENSG00000274917
37.57	42939	49164	GL000195.1	protein_coding	ENSG00000276256
51.32	217250	217401	KI270442.1	rRNA	ENSG00000278294
57.52	155997	156149	GL000220.1	rRNA	ENSG00000273730
75.56	149259	149348	GL000220.1	misc_RNA	ENSG00000273937
43.93	127840	127946	GL000213.1	snRNA	ENSG00000278793
57.94	131494	137392	KI270734.1	protein_coding	ENSG00000278817
60.52	72411	74814	KI270734.1	protein_coding	ENSG00000276017
52.78	30437	30580	KI270713.1	snRNA	ENSG00000275987
63.79	52895	53010	KI270721.1	misc_RNA	ENSG00000275661
60.87	52666	52734	KI270721.1	misc_RNA	ENSG00000276351
58.43	35407	35916	KI270713.1	protein_coding	ENSG00000268674
60.17	31698	32528	KI270713.1	protein_coding	ENSG00000277475
60.59	2585	11802	KI270721.1	protein_coding	ENSG00000276345
54.27	21861	22024	KI270713.1	snRNA	ENSG00000275405
57.27	41444	41876	KI270726.1	protein_coding	ENSG00000275063
53.06	26241	26534	KI270726.1	protein_coding	ENSG00000277856
49.00	17234	19833	KI270728.1	protein_coding	ENSG00000274175
77.46	51722	51792	KI270721.1	misc_RNA	ENSG00000273532
50.21	51867	54893	GL000218.1	protein_coding	ENSG00000278384
62.83	1139577	1147868	KI270728.1	protein_coding	ENSG00000273554
49.00	933862	936467	KI270728.1	protein_coding	ENSG00000275869
53.26	1109945	1110235	KI270728.1	processed_pseudogene	ENSG00000278510
40.36	137798	139135	KI270728.1	processed_pseudogene	ENSG00000273843
54.51	1270984	1271271	KI270728.1	protein_coding	ENSG00000277836
75.56	167218	167307	KI270733.1	misc_RNA	ENSG00000276312
57.52	128877	129029	KI270733.1	rRNA	ENSG00000276700
57.52	173956	174108	KI270733.1	rRNA	ENSG00000275757
75.56	122136	122225	KI270733.1	misc_RNA	ENSG00000273739
31.86	183252	183364	GL000225.1	snRNA	ENSG00000276711
31.86	93197	93309	GL000216.2	snRNA	ENSG00000274202
56.86	8280198	8282209	Y	unprocessed_pseudogene	ENSG00000215601
34.84	7853686	7854876	Y	processed_pseudogene	ENSG00000215603
34.73	9610571	9621276	Y	unprocessed_pseudogene	ENSG00000231436
44.42	4801685	4802848	Y	processed_pseudogene	ENSG00000225878
51.44	7687739	7689548	Y	unprocessed_pseudogene	ENSG00000236435
62.72	10070131	10070409	Y	processed_pseudogene	ENSG00000278478
68.75	11332329	11333595	Y	unprocessed_pseudogene	ENSG00000258991
41.16	7803996	7810683	Y	lncRNA	ENSG00000237048
47.38	9706824	9715262	Y	lncRNA	ENSG00000147761
34.85	14941746	14942715	Y	processed_pseudogene	ENSG00000224518
36.19	9030594	9039988	Y	unprocessed_pseudogene	ENSG00000231988
39.89	7671743	7676024	Y	unprocessed_pseudogene	ENSG00000238073
57.92	8517364	8517748	Y	processed_pseudogene	ENSG00000275866
47.43	22439593	22441458	Y	lncRNA	ENSG00000131538
36.61	17464879	17465214	Y	processed_pseudogene	ENSG00000271595
36.89	11340579	11385687	Y	unprocessed_pseudogene	ENSG00000183704
38.25	3682805	3683868	Y	processed_pseudogene	ENSG00000232927
51.07	9910798	9911962	Y	lncRNA	ENSG00000239225
43.96	20570222	20570519	Y	processed_pseudogene	ENSG00000277438
47.39	6449468	6457906	Y	lncRNA	ENSG00000147753
65.59	11314921	11316187	Y	unprocessed_pseudogene	ENSG00000259154
41.46	22490397	22514637	Y	protein_coding	ENSG00000169789
55.28	9869664	9870781	Y	unprocessed_pseudogene	ENSG00000231874
64.98	22646031	22646327	Y	unprocessed_pseudogene	ENSG00000273589
39.15	10173853	10174207	Y	unprocessed_pseudogene	ENSG00000226061
39.03	7905536	7907303	Y	processed_pseudogene	ENSG00000273863
31.76	22537047	22537849	Y	unprocessed_pseudogene	ENSG00000228571
47.95	11473727	11474237	Y	processed_pseudogene	ENSG00000271375
34.21	8350931	8352143	Y	processed_pseudogene	ENSG00000224634
50.44	5887504	5888740	Y	processed_pseudogene	ENSG00000285470
34.56	21927521	21937150	Y	unprocessed_pseudogene	ENSG00000226092
45.86	6406244	6462091	Y	lncRNA	ENSG00000212856
45.53	9717653	9721296	Y	lncRNA	ENSG00000228890
41.45	15348662	15456074	Y	unprocessed_pseudogene	ENSG00000234620
56.46	7690511	7692678	Y	unprocessed_pseudogene	ENSG00000236690
60.41	11085476	11086061	Y	processed_pseudogene	ENSG00000273693
38.76	12537650	12860839	Y	protein_coding	ENSG00000114374
41.48	22071756	22096007	Y	protein_coding	ENSG00000169807
57.37	9624183	9626352	Y	unprocessed_pseudogene	ENSG00000234110
56.24	7678899	7681028	Y	unprocessed_pseudogene	ENSG00000223422
38.49	21972313	22005349	Y	unprocessed_pseudogene	ENSG00000231159
40.26	3777997	3779546	Y	processed_pseudogene	ENSG00000225653
58.91	21895394	21897559	Y	unprocessed_pseudogene	ENSG00000251618
58.79	22183850	22186021	Y	unprocessed_pseudogene	ENSG00000229159
55.29	17516836	17519038	Y	unprocessed_pseudogene	ENSG00000228578
58.45	10171590	10172725	Y	unprocessed_pseudogene	ENSG00000231411
51.20	9905595	9908139	Y	unprocessed_pseudogene	ENSG00000187657
64.42	7656968	7657352	Y	processed_pseudogene	ENSG00000275280
42.16	11395699	11397076	Y	processed_pseudogene	ENSG00000270242
43.63	12244752	12245457	Y	processed_pseudogene	ENSG00000236477
46.57	6390431	6411564	Y	lncRNA	ENSG00000129816
44.44	19986575	19987852	Y	processed_pseudogene	ENSG00000237997
33.18	7913422	7914090	Y	processed_pseudogene	ENSG00000244246
33.45	9951553	9959423	Y	unprocessed_pseudogene	ENSG00000234950
35.59	20575776	20593154	Y	protein_coding	ENSG00000198692
55.19	6303957	6305074	Y	unprocessed_pseudogene	ENSG00000234583
42.58	22973819	23005465	Y	protein_coding	ENSG00000183753
41.50	11445418	11445564	Y	unprocessed_pseudogene	ENSG00000225433
39.33	15547216	15593331	Y	unprocessed_pseudogene	ENSG00000227166
35.63	9813315	9817513	Y	lncRNA	ENSG00000228379
53.06	56855244	56855488	Y	processed_pseudogene	ENSG00000235857
34.43	8363536	8363959	Y	processed_pseudogene	ENSG00000223955
34.05	6158802	6159265	Y	processed_pseudogene	ENSG00000237195
39.65	10190377	10192298	Y	processed_pseudogene	ENSG00000237447
45.80	6470773	6473630	Y	lncRNA	ENSG00000185700
41.56	11335627	11337693	Y	processed_pseudogene	ENSG00000270455
59.94	22305925	22307951	Y	unprocessed_pseudogene	ENSG00000229940
51.02	11781052	11782527	Y	processed_pseudogene	ENSG00000234385
47.93	12537773	12544883	Y	transcribed_unprocessed_pseudogene	ENSG00000226863
46.45	9740584	9758476	Y	lncRNA	ENSG00000212855
58.34	21940012	21941593	Y	unprocessed_pseudogene	ENSG00000237968
45.22	8682594	8700977	Y	lncRNA	ENSG00000233699
68.34	11107065	11107263	Y	processed_pseudogene	ENSG00000271365
66.46	11321557	11322823	Y	unprocessed_pseudogene	ENSG00000259029
64.10	9640249	9640716	Y	unprocessed_pseudogene	ENSG00000226223
32.81	6492976	6496757	Y	unprocessed_pseudogene	ENSG00000235895
34.13	6328052	6343323	Y	unprocessed_pseudogene	ENSG00000223744
33.47	22866544	22867756	Y	processed_pseudogene	ENSG00000215537
38.46	22580989	22614081	Y	unprocessed_pseudogene	ENSG00000230476
49.73	10197256	10199103	Y	processed_pseudogene	ENSG00000225840
39.84	7932997	7937640	Y	unprocessed_pseudogene	ENSG00000229745
38.39	8127130	8144203	Y	unprocessed_pseudogene	ENSG00000227204
45.40	11412548	11418716	Y	unprocessed_pseudogene	ENSG00000275828
32.73	9665229	9669010	Y	unprocessed_pseudogene	ENSG00000232617
33.74	22198429	22203712	Y	unprocessed_pseudogene	ENSG00000225615
51.89	17552800	17579754	Y	lncRNA	ENSG00000230663
40.23	20001185	20012204	Y	unprocessed_pseudogene	ENSG00000232522
39.46	22517242	22517573	Y	processed_pseudogene	ENSG00000234131
32.19	21817579	21818218	Y	unprocessed_pseudogene	ENSG00000277519
50.95	22330452	22332500	Y	unprocessed_pseudogene	ENSG00000259247
58.94	9544917	9547147	Y	unprocessed_pseudogene	ENSG00000224336
63.47	8931069	8931454	Y	processed_pseudogene	ENSG00000273731
46.54	22100814	22147484	Y	lncRNA	ENSG00000236951
51.46	11922536	11923769	Y	processed_pseudogene	ENSG00000215583
52.25	11178306	11178816	Y	processed_pseudogene	ENSG00000274162
34.26	9831418	9846696	Y	unprocessed_pseudogene	ENSG00000229208
46.58	9753156	9774289	Y	lncRNA	ENSG00000129845
58.93	21918935	21921106	Y	unprocessed_pseudogene	ENSG00000227444
40.10	12618983	12634402	Y	unprocessed_pseudogene	ENSG00000233774
31.86	22048554	22049347	Y	unprocessed_pseudogene	ENSG00000232475
30.82	20390051	20396796	Y	processed_pseudogene	ENSG00000228764
38.39	12252321	12258033	Y	transcribed_unprocessed_pseudogene	ENSG00000232226
50.00	11445708	11446101	Y	processed_pseudogene	ENSG00000224567
33.41	7990987	7991806	Y	processed_pseudogene	ENSG00000241200
56.11	17192826	17193652	Y	processed_pseudogene	ENSG00000228518
44.67	12440046	12507369	Y	unprocessed_pseudogene	ENSG00000227447
39.09	11144250	11144492	Y	processed_pseudogene	ENSG00000274231
64.22	11173618	11173821	Y	processed_pseudogene	ENSG00000274502
56.96	6306042	6308202	Y	unprocessed_pseudogene	ENSG00000235094
37.63	7845485	7846454	Y	processed_pseudogene	ENSG00000278854
45.80	9691100	9693957	Y	lncRNA	ENSG00000183385
34.92	8264449	8277188	Y	unprocessed_pseudogene	ENSG00000225809
58.82	22400403	22402568	Y	unprocessed_pseudogene	ENSG00000237902
41.38	8704472	8705283	Y	lncRNA	ENSG00000232419
64.45	6520463	6520929	Y	unprocessed_pseudogene	ENSG00000232620
42.25	22936455	22973284	Y	lncRNA	ENSG00000226906
56.08	8971751	8974095	Y	unprocessed_pseudogene	ENSG00000230025
52.29	9548108	9550681	Y	unprocessed_pseudogene	ENSG00000236786
43.06	9784372	9833895	Y	lncRNA	ENSG00000224075
50.47	6266593	6269275	Y	unprocessed_pseudogene	ENSG00000238235
63.90	9868462	9868702	Y	processed_pseudogene	ENSG00000274445
41.06	11957208	11987386	Y	unprocessed_pseudogene	ENSG00000235649
67.17	11306918	11308181	Y	unprocessed_pseudogene	ENSG00000258567
53.34	9527880	9530682	Y	protein_coding	ENSG00000236424
38.16	8364032	8365150	Y	processed_pseudogene	ENSG00000234179
67.79	11107389	11107596	Y	processed_pseudogene	ENSG00000271309
31.16	22049755	22058113	Y	unprocessed_pseudogene	ENSG00000229553
42.67	22851584	22852715	Y	lncRNA	ENSG00000228240
40.33	3293808	3294826	Y	processed_pseudogene	ENSG00000234652
41.01	3851224	3852869	Y	processed_pseudogene	ENSG00000218410
58.32	10036195	10038375	Y	unprocessed_pseudogene	ENSG00000243643
36.56	17500958	17515018	Y	lncRNA	ENSG00000224989
47.43	22144966	22146831	Y	lncRNA	ENSG00000131548
39.46	22068820	22069151	Y	processed_pseudogene	ENSG00000232029
54.05	11042722	11042943	Y	processed_pseudogene	ENSG00000273858
37.03	8413037	8414054	Y	processed_pseudogene	ENSG00000227830
33.70	8371663	8372030	Y	processed_pseudogene	ENSG00000226529
41.90	6357219	6369921	Y	lncRNA	ENSG00000229643
40.70	19932130	19932500	Y	processed_pseudogene	ENSG00000274837
43.40	3549652	3549810	Y	processed_pseudogene	ENSG00000216777
35.05	8418791	8419900	Y	processed_pseudogene	ENSG00000216824
52.16	6273579	6274065	Y	unprocessed_pseudogene	ENSG00000275352
38.45	22861112	22861834	Y	unprocessed_pseudogene	ENSG00000276829
53.42	9466955	9469749	Y	protein_coding	ENSG00000258992
40.79	22064698	22065712	Y	unprocessed_pseudogene	ENSG00000228850
52.12	17514502	17516715	Y	transcribed_unprocessed_pseudogene	ENSG00000283076
32.77	8372241	8372710	Y	processed_pseudogene	ENSG00000234850
40.79	22520681	22521695	Y	unprocessed_pseudogene	ENSG00000224873
33.05	22209331	22216580	Y	unprocessed_pseudogene	ENSG00000229234
71.60	11107719	11107887	Y	processed_pseudogene	ENSG00000270570
45.82	6443434	6450685	Y	lncRNA	ENSG00000237563
39.91	14276212	14277489	Y	lncRNA	ENSG00000223517
57.43	8901203	8903276	Y	unprocessed_pseudogene	ENSG00000228207
57.66	22670616	22672859	Y	unprocessed_pseudogene	ENSG00000224917
46.29	12354096	12387328	Y	unprocessed_pseudogene	ENSG00000225117
50.75	22296798	22298876	Y	lncRNA	ENSG00000215560
44.99	12801973	12803830	Y	processed_pseudogene	ENSG00000228411
46.54	22438940	22485592	Y	lncRNA	ENSG00000235059
37.00	21880076	21894526	Y	protein_coding	ENSG00000244395
33.14	22762851	22769787	Y	unprocessed_pseudogene	ENSG00000230727
31.16	22528281	22536639	Y	unprocessed_pseudogene	ENSG00000230814
57.25	21871331	21873550	Y	unprocessed_pseudogene	ENSG00000229725
38.47	20464916	20575519	Y	lncRNA	ENSG00000229236
41.49	3866306	3866722	Y	processed_pseudogene	ENSG00000229518
51.20	12321623	12322835	Y	processed_pseudogene	ENSG00000232730
35.36	4036497	4100320	Y	lncRNA	ENSG00000229308
35.18	23017063	23017821	Y	processed_pseudogene	ENSG00000244000
38.60	23025594	23026663	Y	processed_pseudogene	ENSG00000232764
42.11	14907898	14908068	Y	processed_pseudogene	ENSG00000236131
53.99	9507596	9510175	Y	unprocessed_pseudogene	ENSG00000270073
40.69	14941547	14941750	Y	processed_pseudogene	ENSG00000227949
33.96	4174985	4175090	Y	snRNA	ENSG00000252900
51.26	10090410	10090528	Y	rRNA_pseudogene	ENSG00000251766
31.06	16138248	16138379	Y	snoRNA	ENSG00000252689
54.45	12273473	12273764	Y	misc_RNA	ENSG00000243980
57.52	17557864	17557976	Y	rRNA_pseudogene	ENSG00000252315
57.76	17559774	17559889	Y	rRNA_pseudogene	ENSG00000252012
56.67	17568962	17569051	Y	misc_RNA	ENSG00000273966
32.71	16248935	16249041	Y	snRNA	ENSG00000252173
51.97	10200155	10200306	Y	rRNA_pseudogene	ENSG00000251705
56.30	10092875	10092993	Y	rRNA_pseudogene	ENSG00000252289
32.71	16336283	16336389	Y	snRNA	ENSG00000252323
39.22	18731440	18773735	Y	protein_coding	ENSG00000169953
36.11	18741843	18741986	Y	unprocessed_pseudogene	ENSG00000236429
31.95	18776279	18779427	Y	unprocessed_pseudogene	ENSG00000249501
39.58	18787750	18788080	Y	processed_pseudogene	ENSG00000228193
53.94	18790709	18791051	Y	transcribed_unprocessed_pseudogene	ENSG00000248573
40.04	18811338	18811829	Y	unprocessed_pseudogene	ENSG00000230904
33.90	18826107	18829487	Y	unprocessed_pseudogene	ENSG00000238135
32.43	18833002	18839313	Y	unprocessed_pseudogene	ENSG00000224151
46.30	18833729	18833890	Y	snRNA	ENSG00000251970
36.09	18848264	18867280	Y	unprocessed_pseudogene	ENSG00000238088
40.35	18872102	18872272	Y	processed_pseudogene	ENSG00000217179
46.32	18985175	18986398	Y	processed_pseudogene	ENSG00000217896
54.32	18992467	18992709	Y	processed_pseudogene	ENSG00000185275
